Data Import Template,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table:,Item,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please do not change the template headings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First data column must be blank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For updating, you can update only selective columns.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DocType:,Item,,,,,~,~,Item Reorder,reorder_levels,,~,~,Item Variant Attribute,attributes,~,Item Default,item_defaults,~,~,Item Customer Detail,customer_items,~,Item Tax,taxes,~,Website Item Group,website_item_groups,~
Column Labels:,Item Code,Item Group,Default Unit of Measure,Item Name,Item Category,,,Request for,Re-order Level,Material Request Type,,,Attribute,,,Company,,,,Ref Code,,,Tax,,,Item Group,,
Column Name:,item_code,item_group,stock_uom,item_name,item_category,~,~,warehouse,warehouse_reorder_level,material_request_type,~,~,attribute,~,~,company,~,~,~,ref_code,~,~,tax_type,~,~,item_group,~,~
Mandatory:,Yes,Yes,Yes,No,No,,,Yes,Yes,Yes,,,Yes,,,Yes,,,,Yes,,,Yes,,,Yes,,
Type:,Data,Link,Link,Data,Data,,,Link,Float,Select,,,Link,,,Link,,,,Data,,,Link,,,Link,,
Info:,,Valid Item Group,Valid UOM,,,,,Valid Warehouse,,"One of: Purchase, Transfer, Material Issue, Manufacture",,,Valid Item Attribute,,,Valid Company,,,,,,,Valid Account,,,Valid Item Group,,
Start entering data below this line,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6A,Pharmaceuticals,Tablet,Amoxycillin/Clavulanic Acid ,Antibiotics,,,,,,,,,,,,,,,,,,,,,,,
,7A,Pharmaceuticals,Tablet,Amoxycillin Dispersible Scored Tablets,Antibiotics,,,,,,,,,,,,,,,,,,,,,,,
,8A,Pharmaceuticals,Tablet,Amoxycillin/Clavulante Dispersible Tablets ,Antibiotics,,,,,,,,,,,,,,,,,,,,,,,
,9A,Pharmaceuticals,Tablet,Amoxycillin Dispersible Scored Tabs ,Antibiotics,,,,,,,,,,,,,,,,,,,,,,,
,10A,Pharmaceuticals,Tablet,Amoxicillin/Clavulanic Acid Tablets 1Gm ,Antibiotics,,,,,,,,,,,,,,,,,,,,,,,
